"","X","family","father","mother","sex","height","nkids"
"1",1,"1",78.5,67,"M",73.2,4
"2",2,"1",78.5,67,"F",69.2,4
"3",3,"1",78.5,67,"F",69,4
"4",4,"1",78.5,67,"F",69,4
"5",5,"2",75.5,66.5,"M",73.5,4
"6",6,"2",75.5,66.5,"M",72.5,4
"7",7,"2",75.5,66.5,"F",65.5,4
"8",8,"2",75.5,66.5,"F",65.5,4
"9",9,"3",75,64,"M",71,2
"10",10,"3",75,64,"F",68,2
"11",11,"4",75,64,"M",70.5,5
"12",12,"4",75,64,"M",68.5,5
"13",13,"4",75,64,"F",67,5
"14",14,"4",75,64,"F",64.5,5
"15",15,"4",75,64,"F",63,5
"16",16,"5",75,58.5,"M",72,6
"17",17,"5",75,58.5,"M",69,6
"18",18,"5",75,58.5,"M",68,6
"19",19,"5",75,58.5,"F",66.5,6
"20",20,"5",75,58.5,"F",62.5,6
"21",21,"5",75,58.5,"F",62.5,6
"22",22,"6",74,68,"F",69.5,1
"23",23,"7",74,68,"M",76.5,6
"24",24,"7",74,68,"M",74,6
"25",25,"7",74,68,"M",73,6
"26",26,"7",74,68,"M",73,6
"27",27,"7",74,68,"F",70.5,6
"28",28,"7",74,68,"F",64,6
"29",29,"8",74,66.5,"F",70.5,3
"30",30,"8",74,66.5,"F",68,3
"31",31,"8",74,66.5,"F",66,3
"32",32,"9",74.5,66,"F",66,1
"33",33,"10",74,65.5,"F",65.5,1
"34",34,"11",74,62,"M",74,8
"35",35,"11",74,62,"M",70,8
"36",36,"11",74,62,"F",68,8
"37",37,"11",74,62,"F",67,8
"38",38,"11",74,62,"F",67,8
"39",39,"11",74,62,"F",66,8
"40",40,"11",74,62,"F",63.5,8
"41",41,"11",74,62,"F",63,8
"42",42,"12",74,61,"F",65,1
"43",43,"14",73,67,"M",68,2
"44",44,"14",73,67,"M",67,2
"45",45,"15",73,66.5,"M",71,3
"46",46,"15",73,66.5,"M",70.5,3
"47",47,"15",73,66.5,"F",66.7,3
"48",48,"16",73,65,"M",72,9
"49",49,"16",73,65,"M",70.5,9
"50",50,"16",73,65,"M",70.2,9
"51",51,"16",73,65,"M",70.2,9
"52",52,"16",73,65,"M",69.2,9
"53",53,"16",73,65,"F",68.7,9
"54",54,"16",73,65,"F",66.5,9
"55",55,"16",73,65,"F",64.5,9
"56",56,"16",73,65,"F",63.5,9
"57",57,"17",73,64.5,"M",74,6
"58",58,"17",73,64.5,"M",73,6
"59",59,"17",73,64.5,"M",71.5,6
"60",60,"17",73,64.5,"M",62.5,6
"61",61,"17",73,64.5,"F",66.5,6
"62",62,"17",73,64.5,"F",62.3,6
"63",63,"18",73,64,"F",66,3
"64",64,"18",73,64,"F",64.5,3
"65",65,"18",73,64,"F",64,3
"66",66,"19",73.2,63,"F",62.7,1
"67",67,"20",72.7,69,"M",73.2,8
"68",68,"20",72.7,69,"M",73,8
"69",69,"20",72.7,69,"M",72.7,8
"70",70,"20",72.7,69,"F",70,8
"71",71,"20",72.7,69,"F",69,8
"72",72,"20",72.7,69,"F",68.5,8
"73",73,"20",72.7,69,"F",68,8
"74",74,"20",72.7,69,"F",66,8
"75",75,"21",72,68,"M",73,3
"76",76,"21",72,68,"F",68.5,3
"77",77,"21",72,68,"F",68,3
"78",78,"22",72,67,"M",73,3
"79",79,"22",72,67,"M",71,3
"80",80,"22",72,67,"F",67,3
"81",81,"23",72,65,"M",74.2,7
"82",82,"23",72,65,"M",70.5,7
"83",83,"23",72,65,"M",69.5,7
"84",84,"23",72,65,"F",66,7
"85",85,"23",72,65,"F",65.5,7
"86",86,"23",72,65,"F",65,7
"87",87,"23",72,65,"F",65,7
"88",88,"24",72,65.5,"F",65.5,1
"89",89,"25",72,64,"F",66,2
"90",90,"25",72,64,"F",63,2
"91",91,"26",72,63,"M",70.5,5
"92",92,"26",72,63,"M",70.5,5
"93",93,"26",72,63,"M",69,5
"94",94,"26",72,63,"F",65,5
"95",95,"26",72,63,"F",63,5
"96",96,"27",72,63,"M",69,3
"97",97,"27",72,63,"M",67,3
"98",98,"27",72,63,"F",63,3
"99",99,"28",72,63,"M",73,6
"100",100,"28",72,63,"M",67,6
"101",101,"28",72,63,"F",70.5,6
"102",102,"28",72,63,"F",70,6
"103",103,"28",72,63,"F",66.5,6
"104",104,"28",72,63,"F",63,6
"105",105,"29",72.5,63.5,"F",67.5,3
"106",106,"29",72.5,63.5,"F",67.2,3
"107",107,"29",72.5,63.5,"F",66.7,3
"108",108,"30",72,62,"F",64,1
"109",109,"31",72.5,62,"M",71,6
"110",110,"31",72.5,62,"M",70,6
"111",111,"31",72.5,62,"M",70,6
"112",112,"31",72.5,62,"F",66,6
"113",113,"31",72.5,62,"F",65,6
"114",114,"31",72.5,62,"F",65,6
"115",115,"32",72,62,"M",74,5
"116",116,"32",72,62,"M",72,5
"117",117,"32",72,62,"M",69,5
"118",118,"32",72,62,"F",67.5,5
"119",119,"32",72,62,"F",63.5,5
"120",120,"33",72,62,"M",72,5
"121",121,"33",72,62,"M",71.5,5
"122",122,"33",72,62,"M",71.5,5
"123",123,"33",72,62,"M",70,5
"124",124,"33",72,62,"F",68,5
"125",125,"34",72,61,"F",65.7,1
"126",126,"35",71,69,"M",78,5
"127",127,"35",71,69,"M",74,5
"128",128,"35",71,69,"M",73,5
"129",129,"35",71,69,"M",72,5
"130",130,"35",71,69,"F",67,5
"131",131,"36",71,67,"M",73.2,4
"132",132,"36",71,67,"M",73,4
"133",133,"36",71,67,"M",69,4
"134",134,"36",71,67,"F",67,4
"135",135,"37",71,66,"M",70,4
"136",136,"37",71,66,"F",67,4
"137",137,"37",71,66,"F",67,4
"138",138,"37",71,66,"F",66.5,4
"139",139,"38",71,66,"M",70,6
"140",140,"38",71,66,"M",69,6
"141",141,"38",71,66,"M",68.5,6
"142",142,"38",71,66,"F",66,6
"143",143,"38",71,66,"F",64.5,6
"144",144,"38",71,66,"F",63,6
"145",145,"39",71,66,"M",71,2
"146",146,"39",71,66,"F",67,2
"147",147,"40",71,66,"M",76,5
"148",148,"40",71,66,"M",72,5
"149",149,"40",71,66,"M",71,5
"150",150,"40",71,66,"M",66,5
"151",151,"40",71,66,"F",66,5
"152",152,"41",71.7,65.5,"M",70.5,1
"153",153,"42",71,65.5,"M",72,6
"154",154,"42",71,65.5,"M",72,6
"155",155,"42",71,65.5,"M",71,6
"156",156,"42",71,65.5,"M",69,6
"157",157,"42",71,65.5,"F",66,6
"158",158,"42",71,65.5,"F",65,6
"159",159,"43",71.5,65.5,"M",73,2
"160",160,"43",71.5,65.5,"F",65.2,2
"161",161,"44",71.5,65,"M",68.5,2
"162",162,"44",71.5,65,"M",67.7,2
"163",163,"45",71,65,"M",68,3
"164",164,"45",71,65,"M",68,3
"165",165,"45",71,65,"F",62,3
"166",166,"46",71,64,"F",68,8
"167",167,"46",71,64,"F",68,8
"168",168,"46",71,64,"F",67.5,8
"169",169,"46",71,64,"F",66.5,8
"170",170,"46",71,64,"F",66.5,8
"171",171,"46",71,64,"F",66,8
"172",172,"46",71,64,"F",65.5,8
"173",173,"46",71,64,"F",65,8
"174",174,"47",71.7,64.5,"M",72,4
"175",175,"47",71.7,64.5,"M",71,4
"176",176,"47",71.7,64.5,"M",70.5,4
"177",177,"47",71.7,64.5,"F",67,4
"178",178,"48",71,64,"M",68,3
"179",179,"48",71,64,"M",68,3
"180",180,"48",71,64,"M",68,3
"181",181,"49",71.5,64.5,"M",72,7
"182",182,"49",71.5,64.5,"M",71,7
"183",183,"49",71.5,64.5,"M",70,7
"184",184,"49",71.5,64.5,"F",66,7
"185",185,"49",71.5,64.5,"F",64.5,7
"186",186,"49",71.5,64.5,"F",64.5,7
"187",187,"49",71.5,64.5,"F",62,7
"188",188,"51",71.2,63,"F",67.5,2
"189",189,"51",71.2,63,"F",64.5,2
"190",190,"52",71,63.5,"M",71,5
"191",191,"52",71,63.5,"M",67,5
"192",192,"52",71,63.5,"F",66,5
"193",193,"52",71,63.5,"F",65,5
"194",194,"52",71,63.5,"F",63.5,5
"195",195,"53",71,63,"M",71,9
"196",196,"53",71,63,"M",70,9
"197",197,"53",71,63,"M",70,9
"198",198,"53",71,63,"M",64,9
"199",199,"53",71,63,"F",65,9
"200",200,"53",71,63,"F",65,9
"201",201,"53",71,63,"F",64,9
"202",202,"53",71,63,"F",63,9
"203",203,"53",71,63,"F",63,9
"204",204,"54",71,63,"M",71,4
"205",205,"54",71,63,"M",71,4
"206",206,"54",71,63,"M",70,4
"207",207,"54",71,63,"F",63.5,4
"208",208,"55",71,62,"M",71,5
"209",209,"55",71,62,"M",70,5
"210",210,"55",71,62,"F",64.5,5
"211",211,"55",71,62,"F",62.5,5
"212",212,"55",71,62,"F",61.5,5
"213",213,"56",71,62,"M",72,5
"214",214,"56",71,62,"M",70.5,5
"215",215,"56",71,62,"M",70.5,5
"216",216,"56",71,62,"F",64.5,5
"217",217,"56",71,62,"F",60,5
"218",218,"57",71,62.5,"M",70,5
"219",219,"57",71,62.5,"F",64,5
"220",220,"57",71,62.5,"F",64,5
"221",221,"57",71,62.5,"F",64,5
"222",222,"57",71,62.5,"F",62.5,5
"223",223,"58",71,62,"M",70.5,7
"224",224,"58",71,62,"M",70,7
"225",225,"58",71,62,"M",69,7
"226",226,"58",71,62,"M",69,7
"227",227,"58",71,62,"M",66,7
"228",228,"58",71,62,"F",64.5,7
"229",229,"58",71,62,"F",64,7
"230",230,"59",71,61,"F",62,1
"231",231,"60",71,58,"M",71.5,2
"232",232,"60",71,58,"M",69,2
"233",233,"61",70,69,"M",71,4
"234",234,"61",70,69,"M",70,4
"235",235,"61",70,69,"M",69,4
"236",236,"61",70,69,"F",69,4
"237",237,"62",70,69,"M",70,6
"238",238,"62",70,69,"M",68.7,6
"239",239,"62",70,69,"F",68,6
"240",240,"62",70,69,"F",66,6
"241",241,"62",70,69,"F",64,6
"242",242,"62",70,69,"F",62,6
"243",243,"63",70,68,"M",75,1
"244",244,"64",70,67,"M",70,5
"245",245,"64",70,67,"M",69,5
"246",246,"64",70,67,"F",66,5
"247",247,"64",70,67,"F",64,5
"248",248,"64",70,67,"F",60,5
"249",249,"65",70,67,"F",67.5,1
"250",250,"66",70,66.5,"M",73,11
"251",251,"66",70,66.5,"M",72,11
"252",252,"66",70,66.5,"M",72,11
"253",253,"66",70,66.5,"M",66.5,11
"254",254,"66",70,66.5,"F",69.2,11
"255",255,"66",70,66.5,"F",67.2,11
"256",256,"66",70,66.5,"F",66.5,11
"257",257,"66",70,66.5,"F",66,11
"258",258,"66",70,66.5,"F",66,11
"259",259,"66",70,66.5,"F",64.2,11
"260",260,"66",70,66.5,"F",63.7,11
"261",261,"67",70.5,65,"M",72,4
"262",262,"67",70.5,65,"M",70.2,4
"263",263,"67",70.5,65,"M",69,4
"264",264,"67",70.5,65,"M",68.5,4
"265",265,"68",70.5,65,"F",68,5
"266",266,"68",70.5,65,"F",65,5
"267",267,"68",70.5,65,"F",61.5,5
"268",268,"68",70.5,65,"F",61,5
"269",269,"68",70.5,65,"F",61,5
"270",270,"69",70,65,"M",73,8
"271",271,"69",70,65,"M",72,8
"272",272,"69",70,65,"M",70.5,8
"273",273,"69",70,65,"M",65,8
"274",274,"69",70,65,"M",65,8
"275",275,"69",70,65,"F",64.5,8
"276",276,"69",70,65,"F",63,8
"277",277,"69",70,65,"F",62,8
"278",278,"70",70,65,"M",67,5
"279",279,"70",70,65,"M",65,5
"280",280,"70",70,65,"F",64.5,5
"281",281,"70",70,65,"F",62.5,5
"282",282,"70",70,65,"F",62.5,5
"283",283,"71",70,65,"M",70,6
"284",284,"71",70,65,"M",70,6
"285",285,"71",70,65,"F",67,6
"286",286,"71",70,65,"F",65,6
"287",287,"71",70,65,"F",65,6
"288",288,"71",70,65,"F",63,6
"289",289,"72",70,65,"M",79,7
"290",290,"72",70,65,"M",75,7
"291",291,"72",70,65,"M",71,7
"292",292,"72",70,65,"F",69,7
"293",293,"72",70,65,"F",67,7
"294",294,"72",70,65,"F",65.7,7
"295",295,"72",70,65,"F",62,7
"296",296,"73",70,65,"M",73,3
"297",297,"73",70,65,"M",72.5,3
"298",298,"73",70,65,"F",65,3
"299",299,"74",70,65,"M",69,2
"300",300,"74",70,65,"M",69,2
"301",301,"75",70,64.7,"M",72,7
"302",302,"75",70,64.7,"M",70,7
"303",303,"75",70,64.7,"M",68.7,7
"304",304,"75",70,64.7,"F",66.5,7
"305",305,"75",70,64.7,"F",65.5,7
"306",306,"75",70,64.7,"F",64.7,7
"307",307,"75",70,64.7,"F",64.5,7
"308",308,"76",70,64,"M",70.7,7
"309",309,"76",70,64,"M",70,7
"310",310,"76",70,64,"M",68,7
"311",311,"76",70,64,"M",67,7
"312",312,"76",70,64,"M",66,7
"313",313,"76",70,64,"M",65,7
"314",314,"76",70,64,"F",67,7
"315",315,"77",70,64,"M",70,4
"316",316,"77",70,64,"M",68,4
"317",317,"77",70,64,"M",66.7,4
"318",318,"77",70,64,"F",65.5,4
"319",319,"78",70,64.2,"M",72,5
"320",320,"78",70,64.2,"M",70,5
"321",321,"78",70,64.2,"F",62.5,5
"322",322,"78",70,64.2,"F",61.2,5
"323",323,"78",70,64.2,"F",60.1,5
"324",324,"79",70.5,64,"M",74,8
"325",325,"79",70.5,64,"M",69.5,8
"326",326,"79",70.5,64,"M",69,8
"327",327,"79",70.5,64,"M",68,8
"328",328,"79",70.5,64,"M",68,8
"329",329,"79",70.5,64,"M",68,8
"330",330,"79",70.5,64,"F",65.5,8
"331",331,"79",70.5,64,"F",65,8
"332",332,"80",70.5,64.5,"F",60,1
"333",333,"81",70,64,"M",68,4
"334",334,"81",70,64,"F",65,4
"335",335,"81",70,64,"F",64,4
"336",336,"81",70,64,"F",62,4
"337",337,"82",70,64,"M",71,9
"338",338,"82",70,64,"M",70,9
"339",339,"82",70,64,"M",70,9
"340",340,"82",70,64,"M",70,9
"341",341,"82",70,64,"M",69.5,9
"342",342,"82",70,64,"M",68.5,9
"343",343,"82",70,64,"F",69,9
"344",344,"82",70,64,"F",65,9
"345",345,"82",70,64,"F",64,9
"346",346,"83",70,63.7,"M",70,8
"347",347,"83",70,63.7,"M",67,8
"348",348,"83",70,63.7,"M",65.5,8
"349",349,"83",70,63.7,"F",63.7,8
"350",350,"83",70,63.7,"F",63.2,8
"351",351,"83",70,63.7,"F",62.5,8
"352",352,"83",70,63.7,"F",62.2,8
"353",353,"83",70,63.7,"F",61,8
"354",354,"85",70.5,63,"M",72.5,5
"355",355,"85",70.5,63,"M",69,5
"356",356,"85",70.5,63,"M",67,5
"357",357,"85",70.5,63,"F",64.5,5
"358",358,"85",70.5,63,"F",64,5
"359",359,"86",70,63.5,"M",71,4
"360",360,"86",70,63.5,"M",67.5,4
"361",361,"86",70,63.5,"F",67.5,4
"362",362,"86",70,63.5,"F",63.5,4
"363",363,"87",70,63,"M",68,4
"364",364,"87",70,63,"M",67,4
"365",365,"87",70,63,"F",63.7,4
"366",366,"87",70,63,"F",62,4
"367",367,"88",70,63,"M",70,4
"368",368,"88",70,63,"M",66.5,4
"369",369,"88",70,63,"F",62,4
"370",370,"88",70,63,"F",61,4
"371",371,"89",70.5,62,"M",72,8
"372",372,"89",70.5,62,"M",70,8
"373",373,"89",70.5,62,"M",69.5,8
"374",374,"89",70.5,62,"M",69.5,8
"375",375,"89",70.5,62,"M",68,8
"376",376,"89",70.5,62,"F",65,8
"377",377,"89",70.5,62,"F",64,8
"378",378,"89",70.5,62,"F",63,8
"379",379,"90",70.3,62.7,"M",70.7,7
"380",380,"90",70.3,62.7,"M",69.7,7
"381",381,"90",70.3,62.7,"M",69.2,7
"382",382,"90",70.3,62.7,"M",65.2,7
"383",383,"90",70.3,62.7,"F",64,7
"384",384,"90",70.3,62.7,"F",63.5,7
"385",385,"90",70.3,62.7,"F",63.2,7
"386",386,"91",70.5,62,"M",72,3
"387",387,"91",70.5,62,"M",72,3
"388",388,"91",70.5,62,"F",60,3
"389",389,"92",70,61,"M",71.2,2
"390",390,"92",70,61,"M",67,2
"391",391,"93",70,60,"M",67,4
"392",392,"93",70,60,"M",64.5,4
"393",393,"93",70,60,"F",65,4
"394",394,"93",70,60,"F",63,4
"395",395,"94",70,60,"F",65,2
"396",396,"94",70,60,"F",65,2
"397",397,"95",70,58.5,"M",71.5,3
"398",398,"95",70,58.5,"M",64.5,3
"399",399,"95",70,58.5,"F",63,3
"400",400,"96",70,58,"M",72,5
"401",401,"96",70,58,"M",66,5
"402",402,"96",70,58,"F",66,5
"403",403,"96",70,58,"F",65,5
"404",404,"96",70,58,"F",63,5
"405",405,"97",69,68.5,"M",75,10
"406",406,"97",69,68.5,"M",71,10
"407",407,"97",69,68.5,"M",70,10
"408",408,"97",69,68.5,"F",66,10
"409",409,"97",69,68.5,"F",66,10
"410",410,"97",69,68.5,"F",65.5,10
"411",411,"97",69,68.5,"F",65,10
"412",412,"97",69,68.5,"F",65,10
"413",413,"97",69,68.5,"F",64,10
"414",414,"97",69,68.5,"F",64,10
"415",415,"98",69,67,"F",64,1
"416",416,"99",69,66,"M",73,8
"417",417,"99",69,66,"M",72,8
"418",418,"99",69,66,"M",71.7,8
"419",419,"99",69,66,"M",71.5,8
"420",420,"99",69,66,"F",65.5,8
"421",421,"99",69,66,"F",65,8
"422",422,"99",69,66,"F",62.7,8
"423",423,"99",69,66,"F",62.5,8
"424",424,"100",69,66,"M",71.2,3
"425",425,"100",69,66,"M",71,3
"426",426,"100",69,66,"M",70,3
"427",427,"101",69,66.7,"M",75,6
"428",428,"101",69,66.7,"M",74,6
"429",429,"101",69,66.7,"M",72,6
"430",430,"101",69,66.7,"M",68.5,6
"431",431,"101",69,66.7,"M",67,6
"432",432,"101",69,66.7,"M",66,6
"433",433,"102",69,66,"M",70,6
"434",434,"102",69,66,"M",68.5,6
"435",435,"102",69,66,"M",68,6
"436",436,"102",69,66,"F",65,6
"437",437,"102",69,66,"F",63,6
"438",438,"102",69,66,"F",62.5,6
"439",439,"103",69,66.5,"M",73,5
"440",440,"103",69,66.5,"M",71,5
"441",441,"103",69,66.5,"M",70.5,5
"442",442,"103",69,66.5,"M",70.5,5
"443",443,"103",69,66.5,"F",61,5
"444",444,"104",69.5,66.5,"M",70.5,4
"445",445,"104",69.5,66.5,"M",67.5,4
"446",446,"104",69.5,66.5,"F",64.5,4
"447",447,"104",69.5,66.5,"F",64,4
"448",448,"105",69,66.5,"M",71,6
"449",449,"105",69,66.5,"F",68.5,6
"450",450,"105",69,66.5,"F",67.5,6
"451",451,"105",69,66.5,"F",66,6
"452",452,"105",69,66.5,"F",63,6
"453",453,"105",69,66.5,"F",63,6
"454",454,"106",69.5,66,"M",71,7
"455",455,"106",69.5,66,"M",71,7
"456",456,"106",69.5,66,"M",70.5,7
"457",457,"106",69.5,66,"M",70.5,7
"458",458,"106",69.5,66,"F",66.5,7
